fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
0,1,Persistence (baseline),2.6538461538461537,3.621516894256413,-0.5969020172910664,0.0,0.0,646,26,2002-12-17,2003-06-11
0,1,XGBoost,3.081713859851544,4.100420724901091,-1.0471708000594582,0.01279729200177826,0.00022437499865191057,646,26,2002-12-17,2003-06-11
0,1,LightGBM,3.088447654866445,4.110489371770631,-1.0572368630758242,0.0074664169987954665,0.00027595800202107057,646,26,2002-12-17,2003-06-11
1,1,Persistence (baseline),5.576923076923077,6.370001811375181,0.4334166442897569,0.0,0.0,672,26,2003-06-18,2003-12-10
1,1,XGBoost,5.9589236699617825,6.7777861859762405,0.35855351550245174,0.012565208999149036,0.00028154200117569417,672,26,2003-06-18,2003-12-10
1,1,LightGBM,5.795982936006002,6.656669429857334,0.3812735509198669,0.00816912499794853,0.00030204199720174074,672,26,2003-06-18,2003-12-10
2,1,Persistence (baseline),4.076923076923077,4.914656259988703,0.1727212848963875,0.0,0.0,698,26,2003-12-17,2004-06-10
2,1,XGBoost,4.0849720147939825,4.8016866476364735,0.21031627949672682,0.012620582998351892,0.00022720900233252905,698,26,2003-12-17,2004-06-10
2,1,LightGBM,4.115730043497188,4.845059028985779,0.19598583532527358,0.008104166998236906,0.000276708000455983,698,26,2003-12-17,2004-06-10
3,1,Persistence (baseline),6.0,7.508968996114938,-1.0077960387694902,0.0,0.0,724,26,2004-06-17,2004-12-09
3,1,XGBoost,5.6944325520442085,7.182739885997871,-0.8371272932182676,0.013306790999195073,0.00022241599799599499,724,26,2004-06-17,2004-12-09
3,1,LightGBM,5.677252848964349,7.155423415993648,-0.8231804130432758,0.007725208000920247,0.0002739160008786712,724,26,2004-06-17,2004-12-09
4,1,Persistence (baseline),3.3846153846153846,4.411523371981436,0.18649517684887462,0.0,0.0,750,26,2004-12-16,2005-06-11
4,1,XGBoost,3.4294458352602444,4.478627955859472,0.16155817115409032,0.012641416000406025,0.00023862499801907688,750,26,2004-12-16,2005-06-11
4,1,LightGBM,3.466231226408164,4.498195360251221,0.15421575727712888,0.008333500001754146,0.00028583300081663765,750,26,2004-12-16,2005-06-11
5,1,Persistence (baseline),11.615384615384615,15.369800559238536,0.8277161154456949,0.0,0.0,776,26,2005-06-18,2005-12-10
5,1,XGBoost,13.597501644721397,16.523446167935067,0.8008824907575884,0.013514708000002429,0.00023841700021876022,776,26,2005-06-18,2005-12-10
5,1,LightGBM,11.962025443319913,15.01281922728655,0.8356261597452607,0.00796641700071632,0.0002818749999278225,776,26,2005-06-18,2005-12-10
6,1,Persistence (baseline),3.1923076923076925,4.345643264767069,0.10458020621449104,0.0,0.0,802,26,2005-12-17,2006-06-11
6,1,XGBoost,3.4737293353447547,4.499019520552507,0.04025844056202166,0.013127166999765905,0.0002396669988229405,802,26,2005-12-17,2006-06-11
6,1,LightGBM,3.4633856679750767,4.50842403477684,0.03624186017458442,0.008453124999505235,0.00027929099815082736,802,26,2005-12-17,2006-06-11
7,1,Persistence (baseline),5.6923076923076925,7.43691416568003,-0.41514004542013616,0.0,0.0,828,26,2006-06-18,2006-12-10
7,1,XGBoost,5.243985396165114,7.062568348044415,-0.27626015327252085,0.013546875001338776,0.00022724999871570617,828,26,2006-06-18,2006-12-10
7,1,LightGBM,5.209282124342176,7.004322258369764,-0.25529593043859267,0.008497457998601021,0.00027966700145043433,828,26,2006-06-18,2006-12-10
8,1,Persistence (baseline),5.538461538461538,6.793662204867575,-0.0057702846458851376,0.0,0.0,854,26,2006-12-17,2007-06-11
8,1,XGBoost,5.393537658911485,6.4289839419312225,0.09930949552522361,0.013006582998059457,0.00022479199833469465,854,26,2006-12-17,2007-06-11
8,1,LightGBM,5.395136996545604,6.4424305328366085,0.09553786302158007,0.008608000000094762,0.000278041999990819,854,26,2006-12-17,2007-06-11
9,1,Persistence (baseline),15.576923076923077,22.691069066586866,0.6771380230267185,0.0,0.0,880,26,2007-06-18,2007-12-10
9,1,XGBoost,16.52877825957078,26.163289460614024,0.5707684085644136,0.013078624997433508,0.00022533300216309726,880,26,2007-06-18,2007-12-10
9,1,LightGBM,14.562590515811923,21.007404395890408,0.723272845215376,0.008641625001473585,0.0002769579987216275,880,26,2007-06-18,2007-12-10
0,2,Persistence (baseline),2.6538461538461537,3.621516894256413,-0.5969020172910664,0.0,0.0,646,26,2002-12-17,2003-06-11
0,2,XGBoost,2.868148235174326,3.623301050556532,-0.5984758465424551,0.01297254200108,0.00025416700009373017,646,26,2002-12-17,2003-06-11
0,2,LightGBM,2.902403787484841,3.6070545106097462,-0.5841731548877593,0.0074749160012288485,0.000294167002721224,646,26,2002-12-17,2003-06-11
1,2,Persistence (baseline),5.576923076923077,6.370001811375181,0.4334166442897569,0.0,0.0,672,26,2003-06-18,2003-12-10
1,2,XGBoost,5.648378335512602,6.425526728697102,0.42349620620387496,0.013095750000502449,0.00024612500055809505,672,26,2003-06-18,2003-12-10
1,2,LightGBM,5.658617372741777,6.451767236058658,0.4187779497953594,0.007629166000697296,0.000301792002574075,672,26,2003-06-18,2003-12-10
2,2,Persistence (baseline),4.076923076923077,4.914656259988703,0.1727212848963875,0.0,0.0,698,26,2003-12-17,2004-06-10
2,2,XGBoost,3.7189362049102783,4.36555243769143,0.34725436964615175,0.01336579200142296,0.0002720829979807604,698,26,2003-12-17,2004-06-10
2,2,LightGBM,3.664098747373046,4.264224285685934,0.37720425997687634,0.007686334000027273,0.0002994580027007032,698,26,2003-12-17,2004-06-10
3,2,Persistence (baseline),6.0,7.508968996114938,-1.0077960387694902,0.0,0.0,724,26,2004-06-17,2004-12-09
