model,window_a,window_b,fold,MAE_a,MAE_b,diff
XGBoost,1,2,0,3.1262084520780125,2.919006421015813,0.2072020310621996
XGBoost,1,2,1,3.0735826859107385,2.854819187751183,0.21876349815955543
XGBoost,1,2,2,5.900450853201059,5.476284687335674,0.424166165865385
XGBoost,1,2,3,5.963687456571138,5.611599995539739,0.35208746103139976
XGBoost,1,2,4,4.393163350912241,3.8410089566157413,0.5521543942964997
XGBoost,1,2,5,3.735365244058462,3.6505937576293945,0.08477148642906762
XGBoost,1,2,6,5.247150861299955,4.799909848433274,0.44724101286668105
XGBoost,1,2,7,6.182562974783091,5.2946074192340555,0.887955555549035
XGBoost,1,2,8,3.5588507652282715,3.656830567580003,-0.09797980235173132
XGBoost,1,2,9,3.340057739844689,3.274659890394944,0.0653978494497447
XGBoost,1,2,10,15.437795785757212,15.447154265183668,-0.009358479426456512
XGBoost,1,2,11,13.123414846567007,11.8028931250939,1.3205217214731064
XGBoost,1,2,12,4.408672186044546,3.9168782967787523,0.4917938892657938
XGBoost,1,2,13,2.542906742829543,2.3127494958730845,0.23015724695645856
XGBoost,1,2,14,2.9684482721182017,2.6663629825298605,0.30208528958834124
XGBoost,1,2,15,7.489627104539138,6.148656331575834,1.3409707729633036
XGBoost,1,2,16,3.9889958455012393,4.131301146287185,-0.1423053007859454
XGBoost,1,2,17,6.801744094261756,5.928142070770264,0.8736020234914923
XGBoost,1,2,18,16.160344784076397,15.556156892042894,0.6041878920335026
XGBoost,1,2,19,17.24217121417706,19.365203857421875,-2.123032643244816
XGBoost,1,2,20,3.19635794712947,3.0431409432337833,0.1532170038956866
XGBoost,1,4,0,3.1262084520780125,2.280367557819073,0.8458408942589393
XGBoost,1,4,1,3.0735826859107385,2.340926537146935,0.7326561487638035
XGBoost,1,4,2,5.900450853201059,6.221273275522085,-0.32082242232102587
XGBoost,1,4,3,5.963687456571138,5.216229071983924,0.7474583845872145
XGBoost,1,4,4,4.393163350912241,4.289990205031175,0.1031731458810663
XGBoost,1,4,5,3.735365244058462,3.178532233605018,0.556833010453444
XGBoost,1,4,6,5.247150861299955,4.486219626206618,0.760931235093337
XGBoost,1,4,7,6.182562974783091,5.519621482262244,0.6629414925208463
XGBoost,1,4,8,3.5588507652282715,3.392982189471905,0.16586857575636627
XGBoost,1,4,9,3.340057739844689,3.514154287484976,-0.17409654764028692
XGBoost,1,4,10,15.437795785757212,17.47701336787297,-2.039217582115759
XGBoost,1,4,11,13.123414846567007,12.04697902386005,1.0764358227069568
XGBoost,1,4,12,4.408672186044546,4.1699808560884914,0.2386913299560547
XGBoost,1,4,13,2.542906742829543,2.022295364966759,0.5206113778627839
XGBoost,1,4,14,2.9684482721182017,3.0691767839285045,-0.10072851181030273
XGBoost,1,4,15,7.489627104539138,6.6298472331120415,0.8597798714270963
XGBoost,1,4,16,3.9889958455012393,3.7771663665771484,0.21182947892409087
XGBoost,1,4,17,6.801744094261756,5.763453483581543,1.038290610680213
XGBoost,1,4,18,16.160344784076397,16.190053646381084,-0.0297088623046875
XGBoost,1,4,19,17.24217121417706,17.408718842726486,-0.16654762854942717
XGBoost,1,4,20,3.19635794712947,2.9583423687861514,0.23801557834331843
XGBoost,2,4,0,2.919006421015813,2.280367557819073,0.6386388631967397
XGBoost,2,4,1,2.854819187751183,2.340926537146935,0.513892650604248
XGBoost,2,4,2,5.476284687335674,6.221273275522085,-0.7449885881864109
XGBoost,2,4,3,5.611599995539739,5.216229071983924,0.3953709235558147
XGBoost,2,4,4,3.8410089566157413,4.289990205031175,-0.4489812484154334
XGBoost,2,4,5,3.6505937576293945,3.178532233605018,0.4720615240243764
XGBoost,2,4,6,4.799909848433274,4.486219626206618,0.313690222226656
XGBoost,2,4,7,5.2946074192340555,5.519621482262244,-0.22501406302818872
XGBoost,2,4,8,3.656830567580003,3.392982189471905,0.2638483781080976
XGBoost,2,4,9,3.274659890394944,3.514154287484976,-0.23949439709003162
XGBoost,2,4,10,15.447154265183668,17.47701336787297,-2.0298591026893025
XGBoost,2,4,11,11.8028931250939,12.04697902386005,-0.2440858987661496
XGBoost,2,4,12,3.9168782967787523,4.1699808560884914,-0.25310255930973913
XGBoost,2,4,13,2.3127494958730845,2.022295364966759,0.2904541309063253
XGBoost,2,4,14,2.6663629825298605,3.0691767839285045,-0.402813801398644
XGBoost,2,4,15,6.148656331575834,6.6298472331120415,-0.48119090153620725
XGBoost,2,4,16,4.131301146287185,3.7771663665771484,0.35413477971003626
XGBoost,2,4,17,5.928142070770264,5.763453483581543,0.1646885871887207
XGBoost,2,4,18,15.556156892042894,16.190053646381084,-0.6338967543381901
XGBoost,2,4,19,19.365203857421875,17.408718842726486,1.9564850146953887
XGBoost,2,4,20,3.0431409432337833,2.9583423687861514,0.08479857444763184
LightGBM,1,2,0,3.0856414663357397,3.0198168592398877,0.06582460709585192
LightGBM,1,2,1,3.1445924725610004,2.7778126948114976,0.36677977774950277
LightGBM,1,2,2,5.86049276299645,5.55763312562206,0.3028596373743895
LightGBM,1,2,3,5.672681513717307,5.761433879186265,-0.0887523654689586
LightGBM,1,2,4,4.401751120120776,3.631604944568658,0.7701461755521186
