fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
0,1,Persistence (baseline),2.769230769230769,3.6584990617212663,-1.098330241187384,0.0,0.0,646,13,2002-12-17,2003-03-12
0,1,XGBoost,3.1262084520780125,3.981158371786061,-1.4847737614377907,0.013506209001207026,0.00030941699878894724,646,13,2002-12-17,2003-03-12
0,1,LightGBM,3.0856414663357397,3.898795328071133,-1.3830262028960956,0.008054917001572903,0.0002602500026114285,646,13,2002-12-17,2003-03-12
1,1,Persistence (baseline),2.5384615384615383,3.584153156068229,-0.31735436893203883,0.0,0.0,659,13,2003-03-19,2003-06-11
1,1,XGBoost,3.0735826859107385,4.230613079747604,-0.8354227598057191,0.013035624997428386,0.00021924999964539893,659,13,2003-03-19,2003-06-11
1,1,LightGBM,3.1445924725610004,4.336902323093501,-0.9288070251511487,0.007593250000354601,0.00023266700009116903,659,13,2003-03-19,2003-06-11
2,1,Persistence (baseline),5.6923076923076925,6.373020054525532,0.16026425250795195,0.0,0.0,672,13,2003-06-18,2003-09-10
2,1,XGBoost,5.900450853201059,6.764784483580741,0.05384998293726262,0.012467125001421664,0.00021483300224645063,672,13,2003-06-18,2003-09-10
2,1,LightGBM,5.86049276299645,6.735713671974424,0.06196443168961119,0.007624792000569869,0.00023508400045102462,672,13,2003-06-18,2003-09-10
3,1,Persistence (baseline),5.461538461538462,6.366982137438548,0.14018574297188757,0.0,0.0,685,13,2003-09-17,2003-12-10
3,1,XGBoost,5.963687456571138,6.746766026114731,0.034552465351157635,0.01258195799891837,0.0002156249975087121,685,13,2003-09-17,2003-12-10
3,1,LightGBM,5.672681513717307,6.505392154930799,0.10239690284706993,0.007635583999217488,0.00023262499962584116,685,13,2003-09-17,2003-12-10
4,1,Persistence (baseline),4.769230769230769,5.629592142625227,-0.08729192042224931,0.0,0.0,698,13,2003-12-17,2004-03-11
4,1,XGBoost,4.393163350912241,5.177905711071489,0.08018482005395877,0.012519042000349145,0.00021795900102006271,698,13,2003-12-17,2004-03-11
4,1,LightGBM,4.401751120120776,5.196254468701153,0.07365423769976798,0.007680458002141677,0.0002384590006840881,698,13,2003-12-17,2004-03-11
5,1,Persistence (baseline),3.3846153846153846,4.076197322920545,-0.09601873536299754,0.0,0.0,711,13,2004-03-18,2004-06-10
5,1,XGBoost,3.735365244058462,4.4010408241428545,-0.27766904634873923,0.012608542001544265,0.00021950000154902227,711,13,2004-03-18,2004-06-10
5,1,LightGBM,3.7930760668641246,4.438269649018925,-0.29937632071859244,0.007679583002754953,0.00023225000040838495,711,13,2004-03-18,2004-06-10
6,1,Persistence (baseline),5.538461538461538,6.9724733499228675,-1.3261608154020381,0.0,0.0,724,13,2004-06-17,2004-09-09
6,1,XGBoost,5.247150861299955,6.441955465287,-0.9856442657500668,0.012684124998486368,0.00021066599947516806,724,13,2004-06-17,2004-09-09
6,1,LightGBM,5.268299132589005,6.442058357818259,-0.9857076966748575,0.007703083003434585,0.00023454099937225692,724,13,2004-06-17,2004-09-09
7,1,Persistence (baseline),6.461538461538462,8.00960961307392,-0.8822916666666667,0.0,0.0,737,13,2004-09-16,2004-12-09
7,1,XGBoost,6.182562974783091,7.884599878984782,-0.8239945620720619,0.012605625001015142,0.00021395799922174774,737,13,2004-09-16,2004-12-09
7,1,LightGBM,6.154827742734133,7.843319141673464,-0.8049450905774118,0.007737415999145014,0.00023225000040838495,737,13,2004-09-16,2004-12-09
8,1,Persistence (baseline),3.230769230769231,4.437601569801833,-0.526605504587156,0.0,0.0,750,13,2004-12-16,2005-03-12
8,1,XGBoost,3.5588507652282715,4.612352234167612,-0.6492068987675379,0.012666292001085822,0.00021462500080815516,750,13,2004-12-16,2005-03-12
8,1,LightGBM,3.594121041508736,4.634937021064118,-0.6653974132935745,0.0077776670004823245,0.00023375000091618858,750,13,2004-12-16,2005-03-12
9,1,Persistence (baseline),3.5384615384615383,4.385290096535146,0.316365166175852,0.0,0.0,763,13,2005-03-19,2005-06-11
9,1,XGBoost,3.340057739844689,4.384473220026311,0.3166198326683608,0.012770500001352048,0.0002332500007469207,763,13,2005-03-19,2005-06-11
9,1,LightGBM,3.397229018853375,4.446989178663101,0.29699296263782193,0.007858291999582434,0.0002365000000281725,763,13,2005-03-19,2005-06-11
10,1,Persistence (baseline),12.846153846153847,16.661794159555107,0.830135190911,0.0,0.0,776,13,2005-06-18,2005-09-10
10,1,XGBoost,15.437795785757212,18.36782196818963,0.7935688612989278,0.01276779099862324,0.00022212499970919453,776,13,2005-06-18,2005-09-10
10,1,LightGBM,13.131930765448592,16.941043180393983,0.8243936628165056,0.007995459000085248,0.0002384590006840881,776,13,2005-06-18,2005-09-10
11,1,Persistence (baseline),10.384615384615385,13.958730380881846,0.5238446411012783,0.0,0.0,789,13,2005-09-17,2005-12-10
11,1,XGBoost,13.123414846567007,16.556823400067994,0.33009862071149876,0.012909958997624926,0.00022762499793316238,789,13,2005-09-17,2005-12-10
11,1,LightGBM,11.939083544434943,14.414252401473378,0.49226034447363365,0.008471542001643684,0.00023983400024008006,789,13,2005-09-17,2005-12-10
12,1,Persistence (baseline),4.230769230769231,5.356520110324211,-0.05138768430182128,0.0,0.0,802,13,2005-12-17,2006-03-12
12,1,XGBoost,4.408672186044546,5.449693832675888,-0.0882824208616757,0.012972582997463178,0.00024291700174217112,802,13,2005-12-17,2006-03-12
12,1,LightGBM,4.370732609938567,5.435267578608324,-0.08252831462076404,0.008475708000332816,0.00023712500114925206,802,13,2005-12-17,2006-03-12
13,1,Persistence (baseline),2.1538461538461537,3.012793235010175,-0.5278884462151396,0.0,0.0,815,13,2006-03-19,2006-06-11
13,1,XGBoost,2.542906742829543,3.292832819374709,-0.8251239123539362,0.013017375000345055,0.00022850000095786527,815,13,2006-03-19,2006-06-11
13,1,LightGBM,2.5404931818542624,3.314312157861242,-0.8490123490808927,0.00855283299824805,0.00023570799748995341,815,13,2006-03-19,2006-06-11
14,1,Persistence (baseline),3.769230769230769,4.480727962834061,0.3590857574612769,0.0,0.0,828,13,2006-06-18,2006-09-10
14,1,XGBoost,2.9684482721182017,3.469853196315056,0.615651695604033,0.013302374998602318,0.00021904100140091032,828,13,2006-06-18,2006-09-10
14,1,LightGBM,2.97376644559529,3.4828565640884404,0.612765586706393,0.008577208001952386,0.00023579199842060916,828,13,2006-06-18,2006-09-10
15,1,Persistence (baseline),7.615384615384615,9.515170074069172,-1.2621230041395628,0.0,0.0,841,13,2006-09-17,2006-12-10
15,1,XGBoost,7.489627104539138,9.334389014047675,-1.1769823014314005,0.013060166002105689,0.00022220800019567832,841,13,2006-09-17,2006-12-10
15,1,LightGBM,7.414014497706071,9.25045045173123,-1.1380057468404692,0.008614874997874722,0.0002369169997109566,841,13,2006-09-17,2006-12-10
16,1,Persistence (baseline),4.3076923076923075,5.643239658755761,-1.1023437499999997,0.0,0.0,854,13,2006-12-17,2007-03-12
16,1,XGBoost,3.9889958455012393,5.2039695022490955,-0.7877888515926716,0.01325541699770838,0.00022275000083027408,854,13,2006-12-17,2007-03-12
