history_window,model,MAE,RMSE,R2,val_MAE,training_time,inference_time,n_observations,n_train,n_test,n_features
1,Persistence (baseline),7.258992805755396,11.988303652328451,0.8681181851280901,4.899280575539568,0.0,0.0,924,646,139,1
1,XGBoost,7.981201633274984,14.243195091103638,0.8138408910734243,5.074305575528591,0.014289709000877338,0.0003828749995591352,924,646,139,1
1,LightGBM,7.093169307247148,11.432659926442717,0.8800600078350542,5.050859241077979,0.007717875001617358,0.0006469170002674218,924,646,139,1
2,Persistence (baseline),7.258992805755396,11.988303652328451,0.8681181851280901,4.899280575539568,0.0,0.0,924,646,139,1
2,XGBoost,7.697209622362535,14.238147382846039,0.8139728151757407,4.87529938684093,0.013192750000598608,0.000405415999921388,924,646,139,2
2,LightGBM,7.513953844571701,13.652075444961959,0.8289721623297126,4.917889260734694,0.007638917000804213,0.0006935000001249136,924,646,139,2
4,Persistence (baseline),7.258992805755396,11.988303652328451,0.8681181851280901,4.899280575539568,0.0,0.0,924,646,139,1
4,XGBoost,7.558166594814054,13.189883783759662,0.8403564474388667,4.931138318219631,0.01897866699982842,0.000450542000180576,924,646,139,4
4,LightGBM,7.630832640873375,13.823537845705337,0.8246491572974475,4.684710650463924,0.008505333000357496,0.0007232500011014054,924,646,139,4
8,Persistence (baseline),7.258992805755396,11.988303652328451,0.8681181851280901,4.899280575539568,0.0,0.0,924,646,139,1
8,XGBoost,8.92091070147727,15.350093920661445,0.7837821623221644,4.916535912657813,0.031193915998301236,0.0004780830004165182,924,646,139,8
8,LightGBM,9.320971338394413,16.892563862037218,0.7381451727134357,4.588385361201998,0.010109625000040978,0.0007371250012511155,924,646,139,8
12,Persistence (baseline),7.258992805755396,11.988303652328451,0.8681181851280901,4.899280575539568,0.0,0.0,924,646,139,1
12,XGBoost,8.607291134998952,14.278240216358855,0.8129236817952421,5.014191044320305,0.04075612500128045,0.0005264169994916301,924,646,139,12
12,LightGBM,9.824716799222312,18.274666978979592,0.6935438165489098,4.698161958693087,0.012293665999095538,0.0007325419992412208,924,646,139,12
